"COLLECTION_ID","CONTACT_ID"
"2","15"
"3","15"
"4","15"
"5","15"
"6","15"
"7","15"
"8","15"
"9","15"
"10","15"
"11","15"
"12","15"
"13","15"
"14","15"
"15","15"
"16","15"
"17","15"
"18","15"
"19","15"
"20","15"
"21","15"
"22","15"
"23","15"
"24","15"
"25","15"
"26","15"
"27","15"
"28","15"
"29","15"
"30","15"
"31","15"
"32","15"
"33","15"
"34","15"
"35","15"
"36","15"
"37","15"
"38","15"
"39","15"
"41","3"
"42","3"
"43","3"
"44","3"
"45","3"
"46","3"
"47","3"
"48","3"
"49","3"
"50","3"
"51","3"
"52","3"
"53","3"
"54","3"
"55","3"
"56","3"
"66","4"
"67","4"
"68","4"
