"COLLECTION_ID","VISIBLE_FLAG","PRODUCT_ID","ECHO_SUBMIT_DATE","GCMD_SUBMIT_DATE"
"69","N","1","",""
"70","Y","2","",""
"71","N","3","",""
"72","Y","4","",""
"73","N","5","",""
"74","N","6","",""
"75","N","7","",""
"76","Y","8","",""
"77","N","9","",""
"78","N","10","",""
"79","N","11","",""
"80","N","12","",""
"81","Y","13","",""
"82","N","14","",""
"83","N","17","",""
"84","N","18","",""
"85","N","19","",""
"86","N","20","",""
"87","N","21","",""
"88","N","22","",""
"89","N","23","",""
"90","N","24","",""
"91","N","25","",""
"92","N","26","",""
"93","N","28","",""
"94","Y","29","",""
"95","Y","30","",""
"96","Y","31","",""
"97","N","35","",""
"98","N","36","",""
"99","N","44","",""
"100","N","45","",""
"101","N","46","",""
"102","N","47","",""
"103","N","48","",""
"104","N","49","",""
"105","Y","54","",""
"106","Y","57","",""
"107","N","60","",""
"108","N","61","",""
"109","N","62","",""
"110","N","63","",""
"111","N","64","",""
"112","N","65","",""
"113","Y","68","",""
"114","Y","77","",""
"115","Y","78","",""
"116","Y","79","",""
"117","N","83","",""
"118","N","84","",""
"119","N","86","",""
"120","N","98","",""
"121","Y","100","",""
"122","N","113","",""
"123","N","114","",""
"124","N","115","",""
"125","N","116","",""
"126","N","118","",""
"127","Y","119","",""
"128","N","120","",""
"129","Y","123","",""
"130","Y","124","",""
"131","N","127","",""
"132","N","135","",""
"133","N","136","",""
"134","N","137","",""
"135","N","138","",""
"136","N","139","",""
"137","N","140","",""
"138","Y","141","",""
"139","Y","142","",""
"140","Y","157","",""
"141","N","160","",""
"142","N","161","",""
"143","Y","170","",""
"144","N","171","",""
"145","N","172","",""
"146","N","173","",""
"147","Y","174","",""
"148","N","182","",""
"149","N","183","",""
"150","N","189","",""
"151","N","190","",""
"152","N","191","",""
"153","N","199","",""
"154","N","200","",""
"155","N","201","",""
"156","N","202","",""
"157","N","205","",""
"158","N","206","",""
"159","N","207","",""
"160","N","208","",""
"161","N","209","",""
"162","N","210","",""
"163","N","211","",""
"164","N","212","",""
"165","N","213","",""
"166","N","230","",""
"167","Y","287","",""
"168","Y","288","",""
"2","Y","266","",""
"3","Y","292","",""
"4","Y","272","",""
"5","Y","241","",""
"6","Y","231","",""
"7","Y","232","",""
"8","Y","233","",""
"9","Y","234","",""
"10","Y","235","",""
"11","Y","238","",""
"12","Y","239","",""
"13","Y","244","",""
"14","Y","240","",""
"15","Y","242","",""
"16","Y","245","",""
"17","Y","243","",""
"18","N","273","",""
"19","Y","274","",""
"20","Y","248","",""
"21","Y","250","",""
"22","Y","260","",""
"23","Y","259","",""
"24","Y","261","",""
"25","Y","252","",""
"26","Y","271","",""
"27","Y","249","",""
"28","Y","254","",""
"29","Y","253","",""
"30","Y","298","",""
"31","Y","291","",""
"32","Y","257","",""
"33","Y","258","",""
"34","Y","246","",""
"35","Y","269","",""
"36","Y","270","",""
"37","Y","247","",""
"38","Y","264","",""
"39","Y","255","",""
"182","Y","","",""
"183","Y","","",""
"41","Y","133","",""
"42","N","128","",""
"43","Y","131","",""
"44","Y","","",""
"45","Y","","",""
"46","Y","168","",""
"47","Y","","",""
"48","Y","","",""
"49","N","214","",""
"50","Y","167","",""
"51","N","129","",""
"52","N","130","",""
"53","N","","",""
"54","N","","",""
"55","Y","132","",""
"56","N","169","",""
"59","N","110","",""
"60","N","103","",""
"61","N","104","",""
"62","N","105","",""
"63","N","106","",""
"64","N","107","",""
"65","N","285","",""
"66","Y","108","",""
"67","Y","286","",""
"68","Y","109","",""
