"DATASET_ID","CONTACT_ID"
"1","7"
"1","31"
"2","21"
"2","37"
"3","32"
"4","32"
"5","13"
"5","22"
"5","40"
"6","13"
"6","22"
"6","40"
"7","13"
"7","22"
"7","40"
"8","13"
"8","22"
"8","40"
"9","13"
"9","22"
"9","40"
"10","33"
"11","13"
"11","22"
"11","40"
"12","33"
"13","23"
"14","33"
"15","33"
"16","23"
"17","24"
"18","34"
"19","8"
"19","41"
"20","8"
"20","41"
"21","8"
"21","41"
"22","13"
"22","22"
"22","40"
"23","8"
"23","41"
"24","14"
"24","25"
"25","14"
"25","25"
"26","15"
"26","26"
"27","15"
"27","26"
"28","13"
"28","22"
"28","40"
"29","13"
"29","22"
"29","40"
"30","13"
"30","22"
"30","40"
"31","35"
"32","27"
"33","27"
"34","32"
"35","32"
"36","32"
"37","32"
"38","13"
"38","22"
"38","40"
"39","32"
"40","32"
"41","13"
"41","22"
"41","40"
"42","42"
"43","32"
"44","13"
"44","22"
"44","40"
"62","47"
"63","47"
"64","47"
"65","47"
"66","47"
"67","47"
"68","47"
"69","47"
"70","47"
"71","47"
"72","47"
"73","47"
"74","48"
"75","48"
"76","48"
"77","48"
"78","48"
"79","48"
"80","48"
"81","48"
"82","48"
"83","48"
"84","48"
"85","48"
"86","48"
"87","48"
"88","48"
"218","53"
"219","53"
