"DATASET_ID","SOURCE_ID","SENSOR_ID"
"1","1","1"
"1","2","3"
"1","5","6"
"1","11","12"
"2","1","1"
"2","2","3"
"2","5","6"
"2","11","12"
"3","1","1"
"4","1","1"
"5","1","1"
"6","2","3"
"7","9","10"
"8","9","10"
"9","10","11"
"10","10","11"
"11","10","11"
"12","10","11"
"13","10","11"
"14","11","12"
"15","11","12"
"16","11","12"
"17","6","7"
"18","1","1"
"18","1","2"
"18","2","3"
"18","7","8"
"18","10","11"
"18","11","12"
"19","1","1"
"19","2","3"
"19","3","4"
"19","4","5"
"19","7","8"
"19","10","11"
"19","11","12"
"19","13","14"
"20","1","1"
"20","2","3"
"20","7","8"
"20","9","10"
"20","10","11"
"20","11","12"
"20","13","14"
"21","1","1"
"21","2","3"
"21","7","8"
"21","9","10"
"21","10","11"
"21","11","12"
"21","13","14"
"22","8","9"
"23","1","1"
"23","2","3"
"23","7","8"
"23","9","10"
"23","10","11"
"23","11","12"
"23","13","14"
"24","3","4"
"25","4","5"
"26","1","2"
"27","12","13"
"28","9","10"
"29","10","11"
"30","11","12"
"31","1","1"
"31","3","4"
"31","4","5"
"31","10","11"
"31","11","12"
"32","1","1"
"32","5","6"
"32","9","10"
"32","10","11"
"32","11","12"
"33","1","1"
"33","5","6"
"33","9","10"
"33","10","11"
"33","11","12"
"34","1","1"
"35","1","1"
"35","1","2"
"35","13","14"
"36","13","14"
"37","1","1"
"37","13","14"
"38","7","8"
"39","13","14"
"40","13","14"
"41","13","14"
"42","1","1"
"42","2","3"
"42","5","6"
"42","7","8"
"42","9","10"
"42","10","11"
"42","11","12"
"42","13","14"
"43","1","1"
"43","1","2"
"43","13","14"
"44","2","3"
"45","14","15"
"46","14","15"
"47","14","15"
"48","14","15"
"49","14","15"
"50","14","15"
"51","14","15"
"52","14","15"
"53","14","15"
"54","14","15"
"54","14","67"
"55","14","15"
"56","14","15"
"57","14","15"
"58","14","15"
"59","14","15"
"60","14","15"
"61","14","15"
"61","14","68"
"62","15","16"
"63","15","16"
"64","15","16"
"65","15","16"
"66","15","16"
"67","15","16"
"68","15","16"
"69","15","16"
"70","15","16"
"71","15","16"
"72","15","16"
"73","15","16"
"74","16","17"
"75","16","17"
"76","16","17"
"77","16","17"
"78","16","17"
"79","16","17"
"80","16","17"
"81","16","17"
"82","16","17"
"83","16","17"
"84","16","17"
"85","16","17"
"86","16","17"
"87","16","17"
"88","16","17"
"89","24","49"
"89","50","70"
"90","24","49"
"90","50","70"
"91","24","49"
"91","50","70"
"92","24","36"
"92","50","63"
"93","24","36"
"93","50","63"
"94","24","36"
"94","50","63"
"95","24","24"
"96","24","24"
"97","24","24"
"98","24","19"
"99","22","34"
"99","22","64"
"100","22","34"
"100","22","64"
"101","20","26"
"102","20","26"
"102","20","50"
"103","20","26"
"103","20","50"
"104","20","50"
"105","20","26"
"105","20","45"
"105","20","50"
"106","20","26"
"106","20","45"
"106","20","50"
"107","19","29"
"108","31","22"
"108","32","23"
"108","32","30"
"108","32","40"
"108","32","41"
"108","32","44"
"109","16","17"
"109","18","39"
"109","20","26"
"109","20","45"
"109","22","47"
"109","22","64"
"109","23","66"
"109","26","18"
"109","27","20"
"109","28","31"
"109","29","42"
"109","30","25"
"109","31","22"
"109","35","46"
"109","36","35"
"109","47","65"
"110","33","48"
"111","21","43"
"111","33","48"
"112","18","39"
"113","18","39"
"114","18","27"
"114","18","33"
"114","18","39"
"115","18","39"
"116","18","39"
"117","24","24"
"117","24","36"
"117","50","63"
"118","24","36"
"118","50","63"
"119","24","36"
"119","50","63"
"120","24","36"
"120","50","63"
"121","24","36"
"121","50","63"
"122","24","36"
"122","50","63"
"123","24","36"
"123","50","63"
"124","34","37"
"125","25","38"
"125","25","69"
"126","25","38"
"126","25","69"
"127","25","38"
"127","25","69"
"128","25","38"
"128","25","69"
"129","25","38"
"129","25","69"
"130","25","38"
"130","25","69"
"131","25","38"
"131","25","69"
"132","18","39"
"133","18","39"
"134","25","38"
"134","25","69"
"135","25","38"
"135","25","69"
"136","25","38"
"136","25","69"
"137","25","38"
"137","25","69"
"138","25","38"
"138","25","69"
"139","25","38"
"139","25","69"
"140","25","38"
"140","25","69"
"141","25","38"
"141","25","69"
"142","25","38"
"142","25","69"
"143","25","38"
"143","25","69"
"144","25","38"
"144","25","69"
"145","25","38"
"145","25","69"
"146","25","38"
"146","25","69"
"147","25","38"
"147","25","69"
"148","25","38"
"148","25","69"
"149","25","38"
"149","25","69"
"150","23","21"
"151","22","28"
"153","17","32"
"153","17","71"
"154","17","32"
"154","17","71"
"155","17","32"
"155","17","71"
"156","17","32"
"156","17","71"
"157","17","32"
"157","17","71"
"158","17","32"
"159","17","32"
"160","17","32"
"160","17","71"
"161","20","26"
"161","20","45"
"162","20","26"
"162","20","45"
"172","18","39"
"173","18","39"
"174","18","39"
"175","18","39"
"175","26","18"
"175","30","25"
"177","25","38"
"177","25","69"
"178","20","26"
"179","18","39"
"179","20","26"
"179","20","45"
"179","25","38"
"179","25","69"
"179","26","18"
"179","27","20"
"179","28","31"
"179","30","25"
"181","18","39"
"181","26","18"
"181","30","25"
"182","28","31"
"182","29","42"
"182","36","35"
"183","28","31"
"183","29","42"
"183","36","35"
"185","20","26"
"185","20","45"
"185","28","31"
"188","20","26"
"188","20","45"
"188","28","31"
"194","20","26"
"194","20","45"
"195","31","22"
"198","22","28"
"199","22","28"
"200","22","28"
"201","22","28"
"218","46","62"
"219","46","62"
